County_State,Number_Insured,NInsured_CI_LowerBound,NInsured_CI_UpperBound,Number_Uninsured,NUninsured_CI_LowerBound,NUninsured_CI_UpperBound,Population,Insured_rate,Lower_Payment_Est,Ave_Payment,Higher_Payment_Est,State,Regions,Insured_rate_EqWidth,Ave_Payment_EqWidth,Pop_EqWidth
"lawrence, al",23219.5,22824.0,23615.0,4384.5,3989.0,4780.0,27604.0,0.8414783287999292,14308.5,16125.5,18283.5,al,southeast,Low,Very_Cheap,Very_Small
"lawrence, ar",11282.0,11095.5,11468.5,1888.0,1701.5,2074.5,13170.0,0.8572566031429169,14184.0,16299.0,18531.0,ar,southeast,Low,Very_Cheap,Very_Small
"lawrence, il",10348.0,10230.5,10465.5,1038.5,921.0,1156.0,11386.5,0.9091296723174901,14585.0,16482.5,18525.0,il,midwest,High,Very_Cheap,Very_Small
"lawrence, in",31721.5,31232.0,32211.0,5288.0,4798.5,5777.5,37009.5,0.8573650759497771,15967.5,17978.416666666664,20093.75,in,midwest,Low,Cheap,Very_Small
"lawrence, ky",11558.5,11391.5,11725.5,1696.0,1529.0,1863.0,13254.5,0.8727524296988705,12605.5,14037.0,15538.0,ky,southeast,Fair,Very_Cheap,Very_Small
"lawrence, mo",25691.0,25209.0,26173.0,5468.5,4986.5,5950.5,31159.5,0.8246857386117393,17331.0,19672.0,22061.0,mo,midwest,Very_Low,Moderate,Very_Small
"lawrence, ms",8694.0,8524.5,8863.5,1828.0,1658.5,1997.5,10522.0,0.82624846070814,16834.0,19044.0,21355.0,ms,southeast,Very_Low,Moderate,Very_Small
"lawrence, pa",63257.0,62664.5,63849.5,6361.5,5769.0,6954.0,69618.5,0.9088680406135297,16960.333333333332,18866.083333333336,20919.875,pa,northeast,High,Moderate,Small
"lawrence, sd",17148.0,16884.0,17412.0,2407.0,2143.0,2671.0,19555.0,0.8769702613514115,15529.0,18010.5,20521.833333333336,sd,midwest,Fair,Cheap,Very_Small
"lawrence, tn",29559.0,29083.0,30035.0,5077.0,4601.0,5553.0,34636.0,0.8533548791476476,14350.5,15719.0,17201.5,tn,southeast,Low,Very_Cheap,Very_Small
